Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
No traffic stops for 11/20/2015 
11/21/2015 9:03 PM,5800 Cottage Grove,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
11/23/2015 1:05 AM,5615 Woodlawn,African American,Male,Lane Violation,Illegal U-Turn,N/A,Verbal Warning,No
No traffic stops for 11/23/2015 
No traffic stops for 11/24/2015 
No traffic stops for 11/25/2015 
11/26/2015 10:11 PM,Midway Plaisance and Dorchester,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
11/27/2015 9:26 AM,5900 S Stony Island,African American,Male,Lane Violation,Improper passing/overtaking,N/A,Verbal Warning,No
No traffic stops for 11/28/2015 
11/29/2015 11:18 AM,1130 E 56TH ,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
11/29/2015 5:07 PM,Midway & Ellis,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
No traffic stops for 11/30/2015 
No traffic stops for 12/01/2015 
12/2/2015 2:23 PM,5700 S Cornell,African American,Male,Lane Violation,No turn signal (almost caused accident),N/A,Verbal Warning,No
No traffic stops for 12/03/2015 
No traffic stops for 12/04/2015 
12/5/2015 2:32 PM,5500 S Woodlawn,African American,Male,Lane Violation,No turn signal,N/A,Verbal Warning,No
No traffic stops for 12/06/2015 
12/7/2015 5:54 PM,5000 S Blackstone,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
No traffic stops for 12/08/2015 
No traffic stops for 12/09/2015 
12/10/2015 7:09 PM,5300 S Harper,Caucasian,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
No traffic stops for 12/11/2015 
No traffic stops for 12/12/2015 
No traffic stops for 12/13/2015 
12/14/2015 9:44 PM,5300 Cottage Grove,African American,Male,Moving Violation - Other,Failure to yield (almost caused accident),N/A,Verbal Warning,No
No traffic stops for 12/15/2015 
No traffic stops for 12/16/2015 
No traffic stops for 12/17/2015 
No traffic stops for 12/18/2015 
No traffic stops for 12/19/2015 
No traffic stops for 12/21/2015 
No traffic stops for 12/22/2015 
12/24/2015 2:31 AM,Midway & University,African American,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
No traffic stops for 12/24/2015 
No traffic stops for 12/25/2015 
12/26/2015 5:06 PM,5630 S University,Caucasian,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
No traffic stops for 12/27/2015 
No traffic stops for 12/29/2015 
No traffic stops for 12/30/2015 
No traffic stops for 12/31/2015 
No traffic stops for 01/01/2016 
No traffic stops for 01/02/2016 
No traffic stops for 01/03/2016 
No traffic stops for 01/04/2016 
No traffic stops for 01/05/2016 
No traffic stops for 01/06/2016 
No traffic stops for 01/07/2016 
No traffic stops for 01/08/2016 
1/9/2016 10:34 AM,1100 E 57th ,Caucasian,Male,Traffic Sign/Signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
No traffic stops for 01/10/2016 
No traffic stops for 1/11/2016 
1/12/2016` 4:16 PM,5800 S. Woodlawn,Caucasian,Female,Lane Violation,Driving on crosswalk,N/A,Verbal Warning,No
No traffic stops for 01/13/2016 
1/14/2016 10:28 AM,5700 S. University,Asian,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
1/14/2016 8:14 PM,6100 S. University,African American,Female,Lane Violation,Improper passing/overtaking,N/A,Verbal Warning,No
No traffic stops for 01/16/2016 
No traffic stops for 01/17/2016 
No traffic stops for 01/18/2016 
No traffic stops for 01/19/2016 
No traffic stops for 01/20/2016 
1/21/2016 8:49 PM,6000 S Drexel,African American,Male,Traffic Sign/Signal,Failed to stop at intersection with pedestrians in area,Citation issued for disobeying stop sign,Citation Issued,No
1/22/2016 7:32 PM,5626 S Blackstone,African American,Male,Traffic Sign/Signal,Running stop sign and speeding,N/A,Verbal Warning,No
No traffic stops for 01/23/2016 
No traffic stops for 01/24/2016 
No traffic stops for 01/25/2016 
1/26/2016 10:42 PM,5500 Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 01/28/2016 
No traffic stops for 01/29/2016 
1/30/2016 2:41 AM,5100 Drexel Ave,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
